genus_name common_name height_range_id diameter age_yrs
PRUNUS "KWANZAN FLOWERING CHERRY" 3 32 31.60574948665298
PRUNUS "KWANZAN FLOWERING CHERRY" 3 3 31.668720054757017
PRUNUS "KWANZAN FLOWERING CHERRY" 3 3 31.668720054757017
PRUNUS "KWANZAN FLOWERING CHERRY" 3 8 25.568788501026695
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 24.692676249144423
PRUNUS "KWANZAN FLOWERING CHERRY" 2 3 22.86652977412731
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 26.869267624914443
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 24.580424366872005
PRUNUS "KWANZAN FLOWERING CHERRY" 1 3.75 10.54072553045859
PRUNUS "KWANZAN FLOWERING CHERRY" 1 5 19.633127994524298
PRUNUS "KWANZAN FLOWERING CHERRY" 1 2 18.694045174537987
PRUNUS "KWANZAN FLOWERING CHERRY" 1 2 18.694045174537987
PRUNUS "KWANZAN FLOWERING CHERRY" 1 10 23.575633127994525
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14.5 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.5 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 21.75 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14.25 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 21.25 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.75 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.25 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13.5 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12.75 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13.75 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8 33.96851471594798
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14.5 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19.58 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 19.5 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 20 33.93292265571527
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 8 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 3 16 33.960301163586585
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18.5 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 14 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 12 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 13 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 7.75 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 3 15 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 3 12 33.96577686516085
PRUNUS "KWANZAN FLOWERING CHERRY" 2 9 33.93018480492813
PRUNUS "KWANZAN FLOWERING CHERRY" 2 20 33.93018480492813
PRUNUS "KWANZAN FLOWERING CHERRY" 2 16.5 33.93018480492813
PRUNUS "KWANZAN FLOWERING CHERRY" 2 18 33.93018480492813
